symbol,name,sector,industry,open,high,low,close,adj_close,volume,dividend_amount,split_coefficient,fte,fiscal_ye,latest_qtr,market_cap,ebitda,pe_ratio,peg_ratio,book_value,div_per_share,div_yield,eps,revenue_per_share,profit_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,qtr_earnings_growth_yoy,qtr_revenue_growth_yoy,analyst_target_price,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,week_high_52,week_low_52,moving_avg_50_day,moving_avg_200_day,shares_outstanding,shares_float,shares_short,shares_short_prior_month,short_ratio,short_percent_outstanding,short_percent_float,percent_insider,percent_institution,forward_annual_div_rate,forward_annual_div_yield,payout_ratio,sma,ema,macd,macd_signal,macd_hist,stoch_slow_d,stoch_slow_k,rsi,stochrsi_fast_d,stochrsi_fast_k,willr,roc,rocr,bbands_upper,bbands_middle,bbands_lower,refresh_date
CTL,CenturyLink Inc,Communication Services,Telecom Services,33.75,34.4,33.46,33.8,11.5791,691600.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.278,33.9865,0.2775,0.3842,-0.1067,34.4407,37.0577,48.3787,13.7851,41.3552,-63.0435,-3.2951,0.967,35.3096,34.278,33.2464,2001-11-30
CTL,CenturyLink Inc,Communication Services,Telecom Services,34.5,34.5,33.9,34.2,11.7161,464900.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.223,34.0799,0.299,0.3672,-0.0682,40.985,55.7458,59.6052,47.1184,100.0,-41.3146,-1.5692,0.9843,35.1359,34.223,33.3101,2001-12-03
CTL,CenturyLink Inc,Communication Services,Telecom Services,34.25,34.65,34.0,34.4,11.7846,518500.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.158,34.1108,0.2925,0.3522,-0.0598,54.6484,71.1418,55.162,71.1498,72.0942,-31.9249,-1.8625,0.9814,34.9539,34.158,33.3621,2001-12-04
CTL,CenturyLink Inc,Communication Services,Telecom Services,34.55,35.15,34.44,34.9,11.9559,406700.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.118,34.1907,0.308,0.3434,-0.0354,70.5646,84.8062,59.2156,89.8825,97.5533,-11.3636,-1.1445,0.9886,34.7796,34.118,33.4564,2001-12-05
CTL,CenturyLink Inc,Communication Services,Telecom Services,35.79,35.79,34.95,35.6,12.1957,779500.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.244,34.4815,0.4156,0.3578,0.0577,81.4959,88.5396,71.1811,89.8825,100.0,-6.6901,3.649,1.0365,35.4375,34.244,33.0505,2001-12-06
CTL,CenturyLink Inc,Communication Services,Telecom Services,35.59,35.59,34.4,34.58,11.8463,380600.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.403,34.683,0.4791,0.3821,0.097,81.8157,72.1012,67.6255,91.7858,77.804,-42.6056,4.6765,1.0468,35.8258,34.403,32.9802,2001-12-07
CTL,CenturyLink Inc,Communication Services,Telecom Services,34.5,34.5,33.7,33.7,11.5448,667000.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.453,34.6497,0.4365,0.393,0.0436,67.7496,42.6081,51.9204,59.268,0.0,-73.5915,1.4706,1.0147,35.8505,34.453,33.0555,2001-12-10
CTL,CenturyLink Inc,Communication Services,Telecom Services,33.7,33.95,33.29,33.45,11.4592,419800.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.408,34.4771,0.3344,0.3813,-0.0469,42.9452,14.1263,43.6531,25.9347,0.0,-82.3944,-1.3177,0.9868,35.8692,34.408,32.9468,2001-12-11
CTL,CenturyLink Inc,Communication Services,Telecom Services,33.45,33.5,33.15,33.35,11.4249,581700.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.358,34.2903,0.2306,0.3511,-0.1206,20.4643,4.6586,41.366,0.0,0.0,-86.8327,-1.4728,0.9853,35.9098,34.358,32.8062,2001-12-12
CTL,CenturyLink Inc,Communication Services,Telecom Services,33.35,33.35,32.7,32.9,11.2708,306300.0,0.0,1.0,40000,0.0,2020-06-30,11973900000.0,8682000000.0,10.0354,419.226,12.27,1.0,0.0916,1.123,20.478,0.0552,0.038,0.0896,22019000000.0,12324000000.0,1.123,0.009,-0.034,9.66,10.0354,8.4602,0.5549,0.9245,2.0644,5.4668,1.0173,15.3,8.45,10.4957,10.3594,1097540000.0,991494000.0,113364000.0,110842000.0,9.01,0.1,0.1176,0.789,78.272,1.0,0.0916,0.885,34.343,34.1194,0.1386,0.3086,-0.17,8.5834,6.9654,40.4247,0.0,0.0,-93.5275,-0.4478,0.9955,35.9302,34.343,32.7558,2001-12-13
